pedigree;entrada;bloque;tratamiento;parcela;cod_parcela;peso_bulbo;longitud_bulbo_mm;ancho_bulbo_mm;num_dientes
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;44.20;38.44;44.52;7.80
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;41.35;41.17;52.26;3.80
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;31.20;38.08;47.07;9.10
AJO CHINO;CHIN24-01;1;T3;104;B1-104;59.60;45.87;57.54;4.80
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;72.30;48.69;65.45;10.70
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;54.70;37.46;49.03;6.80
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;39.65;43.95;47.95;5.00
AJO CHINO;CHIN24-01;2;T3;202;B2-202;57.70;40.45;56.25;4.20
AJO BLANCO INIA;BLANC24-01;2;T2;203;B2-203;65.05;49.07;61.59;9.50
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;47.00;38.40;52.60;8.90
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;47.70;43.47;54.50;7.10
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;55.95;37.69;52.95;10.80
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;41.70;41.18;50.92;6.50
AJO SANTEÑO ;SANT24-01;3;T5;302;B3-302;61.40;36.39;51.00;10.30
AJO KYAN ;KYAN24-01;3;T4;303;B3-303;50.55;40.23;55.21;8.10
AJO CHINO;CHIN24-01;3;T3;304;B3-304;64.15;42.36;57.05;4.70
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;35.80;37.82;49.04;7.80
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;54.95;52.31;58.83;8.30
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;41.05;43.80;50.60;6.90
AJO BLANCO INIA;BLANC24-01;4;T2;402;B4-402;64.35;49.11;57.30;9.10
AJO CHINO;CHIN24-01;4;T3;403;B4-403;54.10;47.83;53.83;5.00
AJO KYAN ;KYAN24-01;4;T4;404;B4-404;45.83;41.10;50.35;5.00
AJO SANTEÑO ;SANT24-01;4;T5;405;B4-405;65.25;37.00;55.87;11.20
AJO CAÑETANO;CANT24-01;4;T6;406;B4-406;41.35;41.17;52.26;3.80
;;;;;;;;;
;;;;;;;;;
