pedigree,entrada,bloque,tratamiento,parcela,cod_parcela,peso_bulbo,longitud_bulbo_mm,ancho_bulbo_mm,num_dientes
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,44.2,38.44,44.52,7.8
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,41.35,41.17,52.26,3.8
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,31.2,38.08,47.07,9.1
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,59.6,45.87,57.54,4.8
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,72.3,48.69,65.45,10.7
AJO KYAN ,KYAN24-01,1.0,T4,106.0,B1-106,54.7,37.46,49.03,6.8
AJO KYAN ,KYAN24-01,2.0,T4,201.0,B2-201,39.65,43.95,47.95,5.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,57.7,40.45,56.25,4.2
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,65.05,49.07,61.59,9.5
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,47.0,38.4,52.6,8.9
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,47.7,43.47,54.5,7.1
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,55.95,37.69,52.95,10.8
AJO CAÑETANO,CANT24-01,3.0,T6,301.0,B3-301,41.7,41.18,50.92,6.5
AJO SANTEÑO ,SANT24-01,3.0,T5,302.0,B3-302,61.4,36.39,51.0,10.3
AJO KYAN ,KYAN24-01,3.0,T4,303.0,B3-303,50.55,40.23,55.21,8.1
AJO CHINO,CHIN24-01,3.0,T3,304.0,B3-304,64.15,42.36,57.05,4.7
AJO DONAJUS,DONA24-01,3.0,T1,305.0,B3-305,35.8,37.82,49.04,7.8
AJO BLANCO INIA,BLANC24-01,3.0,T2,306.0,B3-306,54.95,52.31,58.83,8.3
AJO DONAJUS,DONAJ24-01,4.0,T1,401.0,B4-401,41.05,43.8,50.6,6.9
AJO BLANCO INIA,BLANC24-01,4.0,T2,402.0,B4-402,64.35,49.11,57.3,9.1
AJO CHINO,CHIN24-01,4.0,T3,403.0,B4-403,54.1,47.83,53.83,5.0
AJO KYAN ,KYAN24-01,4.0,T4,404.0,B4-404,45.83,41.1,50.35,5.0
AJO SANTEÑO ,SANT24-01,4.0,T5,405.0,B4-405,65.25,37.0,55.87,11.2
AJO CAÑETANO,CANT24-01,4.0,T6,406.0,B4-406,41.35,41.17,52.26,3.8
