cultivar;entrada;bloue;tratamiento;parcela;cod_parcela;num_planta;DDS;tallo_flora_curvatura;tallo_floral_bulbillo;follaje_porte;num_hojas;forma_longitudinal;posicion_dientes_extrbulb;forma_base;distribución_dientes;dientes_exteriores;peso_bulbo_gr;longitud_bulbo_mm;ancho_bulbo_mm;num_dientes
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;1;140;9;9;2;8;2;2;2;1;1;51.00;36.56;50.05;11
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;2;140;9;9;2;9;2;2;3;1;1;44.50;41.35;48.26;8
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;3;140;9;9;2;9;2;2;3;1;1;35.50;34.92;44.62;4
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;4;140;9;9;2;9;2;2;3;1;1;41.00;37.97;32.83;12
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;5;140;9;9;2;8;2;2;2;1;1;55.00;39.95;50.34;9
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;6;140;9;9;2;11;2;3;2;1;1;28.00;37.36;39.85;4
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;7;140;9;9;2;8;2;3;2;1;9;32.00;35.16;34.38;5
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;8;140;9;9;2;8;2;2;3;1;1;57.00;39.12;54.66;10
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;9;140;9;9;2;8;2;3;2;1;1;36.00;40.70;37.42;5
AJO SANTEÑO ;SANT24-01;1;T5;101;B1-101;10;140;9;9;2;8;2;2;2;1;1;62.00;41.27;52.83;10
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;1;172;1;9;2;11;2;2;2;1;1;34.00;43.58;49.55;2
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;2;172;1;9;2;10;2;2;2;1;1;43.50;43.12;53.27;3
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;3;172;1;9;2;9;2;2;2;1;1;41.00;41.93;48.15;3
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;4;172;1;9;2;10;2;2;2;1;1;38.50;37.42;50.37;5
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;5;172;1;9;2;11;2;2;2;1;1;49.00;40.41;55.57;5
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;6;172;1;9;2;11;2;2;2;1;1;35.50;39.64;54.68;3
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;7;172;1;9;2;11;2;2;2;1;1;47.00;43.74;52.94;4
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;8;172;1;9;2;8;2;2;2;1;1;30.50;39.94;48.16;3
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;9;172;1;9;2;12;2;2;2;1;1;51.50;41.32;59.03;7
AJO CAÑETANO;CANT24-01;1;T6;102;B1-102;10;172;1;9;2;10;2;2;2;1;1;43.00;40.62;50.87;3
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;1;172;1;9;2;7;2;2;2;1;1;35.50;35.91;48.37;9
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;2;172;1;9;2;9;2;2;2;1;1;32.50;38.14;49.61;8
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;3;172;1;9;2;9;2;2;2;1;1;49.00;40.50;54.76;11
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;4;172;1;9;2;9;2;2;2;1;1;34.50;36.24;48.94;14
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;5;172;1;9;2;9;2;2;2;1;1;53.00;41.07;57.77;14
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;6;172;1;9;2;8;2;2;2;1;1;13.50;48.08;38.66;9
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;7;172;1;9;2;9;2;2;2;1;1;23.00;33.35;41.93;8
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;8;172;1;9;2;8;2;2;2;1;1;28.00;39.35;48.15;3
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;9;172;1;9;2;9;2;2;2;1;1;20.50;34.64;42.50;8
AJO DONAJUS;DONA24-01;1;T1;103;B1-103;10;172;1;9;2;11;2;2;2;1;1;22.50;33.50;40.03;7
AJO CHINO;CHIN24-01;1;T3;104;B1-104;1;172;1;9;2;10;2;2;2;1;1;72.50;46.92;59.38;4
AJO CHINO;CHIN24-01;1;T3;104;B1-104;2;172;1;9;2;13;2;2;2;1;1;67.50;44.51;56.22;5
AJO CHINO;CHIN24-01;1;T3;104;B1-104;3;172;1;9;2;11;2;2;2;1;1;47.00;43.43;55.57;4
AJO CHINO;CHIN24-01;1;T3;104;B1-104;4;172;1;9;2;13;2;2;2;1;1;46.50;49.69;57.03;5
AJO CHINO;CHIN24-01;1;T3;104;B1-104;5;172;1;9;2;13;2;2;2;1;1;60.50;43.32;58.81;4
AJO CHINO;CHIN24-01;1;T3;104;B1-104;6;172;1;9;2;9;2;2;2;1;1;46.50;35.88;57.05;4
AJO CHINO;CHIN24-01;1;T3;104;B1-104;7;172;1;9;2;9;2;2;2;1;1;63.50;65.61;57.58;6
AJO CHINO;CHIN24-01;1;T3;104;B1-104;8;172;1;9;2;7;2;2;2;1;1;70.00;41.42;58.13;7
AJO CHINO;CHIN24-01;1;T3;104;B1-104;9;172;1;9;2;10;2;2;2;1;1;60.50;42.27;58.42;4
AJO CHINO;CHIN24-01;1;T3;104;B1-104;10;172;1;9;2;11;2;2;2;1;1;61.50;45.68;57.18;5
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;1;172;1;1;1;11;2;2;1;2;1;68.50;51.24;64.28;16
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;2;172;1;1;1;10;2;2;1;2;1;64.00;44.29;66.77;12
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;3;172;1;1;1;10;2;2;1;2;1;71.50;51.04;65.03;8
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;4;172;1;1;1;11;2;2;1;2;1;95.50;55.70;72.02;10
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;5;172;1;1;1;10;2;2;1;2;1;81.50;46.67;66.12;13
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;6;172;1;1;1;10;2;2;1;2;1;93.50;52.32;75.68;10
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;7;172;1;1;1;11;2;2;1;2;1;61.00;48.88;64.45;8
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;8;172;1;1;1;10;2;2;1;2;1;67.00;45.44;61.78;10
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;9;172;1;1;1;10;2;2;1;2;1;73.50;50.33;61.98;11
AJO BLANCO INIA;BLANC24-01;1;T2;105;B1-105;10;172;1;1;1;10;2;2;1;2;1;47.00;41.03;56.37;9
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;1;172;9;9;2;10;3;3;3;1;1;58.00;29.65;48.01;7.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;2;172;9;9;2;10;3;3;3;1;1;67.50;43.98;47.70;6.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;3;172;9;9;2;11;3;3;3;1;1;76.00;43.68;54.22;12.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;4;172;9;9;2;15;3;3;3;1;1;80.50;41.44;54.01;9.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;5;172;9;9;2;14;3;3;3;1;1;37.00;37.18;48.57;5.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;6;172;9;9;2;13;3;3;3;1;1;45.50;38.21;51.80;6.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;7;172;9;9;2;14;3;3;3;1;1;60.00;38.55;45.92;4.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;8;172;9;9;2;10;3;3;3;1;1;46.00;37.48;46.92;6.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;9;172;9;9;2;11;3;3;3;1;1;31.00;32.86;47.27;4.00
AJO KYAN ;KYAN24-01;1;T4;106;B1-106;10;172;9;9;2;11;3;3;3;1;1;45.50;31.53;45.91;9.00
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;1;172;9;9;2;17;3;3;3;1;1;38.50;46.78;48.77;2
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;2;172;9;9;2;14;3;3;3;1;1;34.50;52.22;45.36;2
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;3;172;9;9;2;12;3;3;3;1;1;32.00;49.67;43.77;3
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;4;172;9;9;2;15;3;3;1;1;1;31.00;32.50;49.17;18
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;5;172;9;9;2;15;3;3;3;1;1;37.50;48.54;40.35;4
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;6;172;9;9;2;14;3;3;3;1;1;28.50;38.32;45.73;2
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;7;172;9;9;2;14;3;3;3;1;1;30.50;40.47;47.31;4
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;8;172;9;9;2;16;3;3;3;1;1;47.50;39.00;53.97;3
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;9;172;9;9;2;14;3;3;3;1;1;51.50;50.28;51.78;5
AJO KYAN ;KYAN24-01;2;T4;201;B2-201;10;172;9;9;2;14;3;3;3;1;9;65.00;41.75;53.33;7
AJO CHINO;CHIN24-01;2;T3;202;B2-202;1;172;1;9;2;8;2;2;2;1;1;51.00;35.85;55.03;4
AJO CHINO;CHIN24-01;2;T3;202;B2-202;2;172;1;9;2;10;2;2;2;1;1;44.00;37.21;52.71;5
AJO CHINO;CHIN24-01;2;T3;202;B2-202;3;172;1;9;2;10;2;2;2;1;1;57.00;41.23;54.88;3
AJO CHINO;CHIN24-01;2;T3;202;B2-202;4;172;1;9;2;10;2;2;2;1;1;56.50;41.36;53.80;3
AJO CHINO;CHIN24-01;2;T3;202;B2-202;5;172;1;9;2;10;2;2;2;1;1;67.00;44.15;57.57;4
