cultivar,entrada,bloue,tratamiento,parcela,cod_parcela,num_planta,DDS,tallo_flora_curvatura,tallo_floral_bulbillo,follaje_porte,num_hojas,forma_longitudinal,posicion_dientes_extrbulb,forma_base,distribución_dientes,dientes_exteriores,peso_bulbo_gr,longitud_bulbo_mm,ancho_bulbo_mm,num_dientes
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,1.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,51.0,36.56,50.05,11.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,2.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,3.0,1.0,1.0,44.5,41.35,48.26,8.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,3.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,3.0,1.0,1.0,35.5,34.92,44.62,4.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,4.0,140.0,9.0,9.0,2.0,9.0,2.0,2.0,3.0,1.0,1.0,41.0,37.97,32.83,12.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,5.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,55.0,39.95,50.34,9.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,6.0,140.0,9.0,9.0,2.0,11.0,2.0,3.0,2.0,1.0,1.0,28.0,37.36,39.85,4.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,7.0,140.0,9.0,9.0,2.0,8.0,2.0,3.0,2.0,1.0,9.0,32.0,35.16,34.38,5.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,8.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,3.0,1.0,1.0,57.0,39.12,54.66,10.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,9.0,140.0,9.0,9.0,2.0,8.0,2.0,3.0,2.0,1.0,1.0,36.0,40.7,37.42,5.0
AJO SANTEÑO ,SANT24-01,1.0,T5,101.0,B1-101,10.0,140.0,9.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,62.0,41.27,52.83,10.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,1.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,34.0,43.58,49.55,2.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,2.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,43.5,43.12,53.27,3.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,3.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,41.0,41.93,48.15,3.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,4.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,38.5,37.42,50.37,5.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,5.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,49.0,40.41,55.57,5.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,6.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,35.5,39.64,54.68,3.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,7.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,47.0,43.74,52.94,4.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,8.0,172.0,1.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,30.5,39.94,48.16,3.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,9.0,172.0,1.0,9.0,2.0,12.0,2.0,2.0,2.0,1.0,1.0,51.5,41.32,59.03,7.0
AJO CAÑETANO,CANT24-01,1.0,T6,102.0,B1-102,10.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,43.0,40.62,50.87,3.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,1.0,172.0,1.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,35.5,35.91,48.37,9.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,2.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,32.5,38.14,49.61,8.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,3.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,49.0,40.5,54.76,11.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,4.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,34.5,36.24,48.94,14.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,5.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,53.0,41.07,57.77,14.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,6.0,172.0,1.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,13.5,48.08,38.66,9.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,7.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,23.0,33.35,41.93,8.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,8.0,172.0,1.0,9.0,2.0,8.0,2.0,2.0,2.0,1.0,1.0,28.0,39.35,48.15,3.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,9.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,20.5,34.64,42.5,8.0
AJO DONAJUS,DONA24-01,1.0,T1,103.0,B1-103,10.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,22.5,33.5,40.03,7.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,1.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,72.5,46.92,59.38,4.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,2.0,172.0,1.0,9.0,2.0,13.0,2.0,2.0,2.0,1.0,1.0,67.5,44.51,56.22,5.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,3.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,47.0,43.43,55.57,4.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,4.0,172.0,1.0,9.0,2.0,13.0,2.0,2.0,2.0,1.0,1.0,46.5,49.69,57.03,5.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,5.0,172.0,1.0,9.0,2.0,13.0,2.0,2.0,2.0,1.0,1.0,60.5,43.32,58.81,4.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,6.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,46.5,35.88,57.05,4.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,7.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,63.5,65.61,57.58,6.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,8.0,172.0,1.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,70.0,41.42,58.13,7.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,9.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,60.5,42.27,58.42,4.0
AJO CHINO,CHIN24-01,1.0,T3,104.0,B1-104,10.0,172.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,1.0,1.0,61.5,45.68,57.18,5.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,1.0,172.0,1.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,1.0,68.5,51.24,64.28,16.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,2.0,172.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,64.0,44.29,66.77,12.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,3.0,172.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,71.5,51.04,65.03,8.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,4.0,172.0,1.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,1.0,95.5,55.7,72.02,10.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,5.0,172.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,81.5,46.67,66.12,13.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,6.0,172.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,93.5,52.32,75.68,10.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,7.0,172.0,1.0,1.0,1.0,11.0,2.0,2.0,1.0,2.0,1.0,61.0,48.88,64.45,8.0
AJO BLANCO INIA,BLANC24-01,1.0,T2,105.0,B1-105,8.0,172.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,67.0,45.44,61.78,10.0
