parcela,bloque,posicion_en_bloque,tratamiento_codigo,tratamiento_nombre,fecha_siembra,largo_surco_m,area_parcela_surco_m2,dist_surcos_m,dist_plantas_hilera_m,dist_plantas_golpe,plantas_totales_parcela
101,1,1,T5,AJO SANTENO,16-06-2025,4,3.0,0.75,0.20,0.12,66
102,1,2,T6,AJO CANETANO,16-06-2025,4,3.0,0.75,0.20,0.12,66
103,1,3,T1,INIA 105 DONAJUS,16-06-2025,4,3.0,0.75,0.20,0.12,66
104,1,4,T3,AJO CHINO,16-06-2025,4,3.0,0.75,0.20,0.12,66
105,1,5,T2,INIA 104 BLANCO,16-06-2025,4,3.0,0.75,0.20,0.12,66
106,1,6,T4,AJO KIYAN,16-06-2025,4,3.0,0.75,0.20,0.12,66
201,2,1,T4,AJO KIYAN,16-06-2025,4,3.0,0.75,0.20,0.12,66
202,2,2,T3,AJO CHINO,16-06-2025,4,3.0,0.75,0.20,0.12,66
203,2,3,T2,INIA 104 BLANCO,16-06-2025,4,3.0,0.75,0.20,0.12,66
204,2,4,T1,INIA 105 DONAJUS,16-06-2025,4,3.0,0.75,0.20,0.12,66
205,2,5,T6,AJO CANETANO,16-06-2025,4,3.0,0.75,0.20,0.12,66
206,2,6,T5,AJO SANTENO,16-06-2025,4,3.0,0.75,0.20,0.12,66
301,3,1,T6,AJO CANETANO,16-06-2025,4,3.0,0.75,0.20,0.12,66
302,3,2,T5,AJO SANTENO,16-06-2025,4,3.0,0.75,0.20,0.12,66
303,3,3,T4,AJO KIYAN,16-06-2025,4,3.0,0.75,0.20,0.12,66
304,3,4,T3,AJO CHINO,16-06-2025,4,3.0,0.75,0.20,0.12,66
305,3,5,T1,INIA 105 DONAJUS,16-06-2025,4,3.0,0.75,0.20,0.12,66
306,3,6,T2,INIA 104 BLANCO,16-06-2025,4,3.0,0.75,0.20,0.12,66
401,4,1,T1,INIA 105 DONAJUS,16-06-2025,4,3.0,0.75,0.20,0.12,66
402,4,2,T2,INIA 104 BLANCO,16-06-2025,4,3.0,0.75,0.20,0.12,66
403,4,3,T3,AJO CHINO,16-06-2025,4,3.0,0.75,0.20,0.12,66
404,4,4,T4,AJO KIYAN,16-06-2025,4,3.0,0.75,0.20,0.12,66
405,4,5,T5,AJO SANTENO,16-06-2025,4,3.0,0.75,0.20,0.12,66
406,4,6,T6,AJO CANETANO,16-06-2025,4,3.0,0.75,0.20,0.12,66

