variable,efecto,df,sum_sq,mean_sq,F,p_valor,n_obs_variable
area_parcela_surco_m2,C(tratamiento_nombre),4.0,8.791843868385535e-31,2.1979609670963836e-31,0.2266776845465451,0.9182118882166714,20
area_parcela_surco_m2,C(bloque),3.0,3.498476464244917e-30,1.1661588214149723e-30,1.2026700446872955,0.35061468258704237,20
area_parcela_surco_m2,Residual,12.0,1.1635698352009924e-29,9.696415293341604e-31,,,20
plantas_totales_parcela,C(tratamiento_nombre),4.0,3.047726053288911e-28,7.619315133222278e-29,0.20579466055306644,0.9302841442612366,20
plantas_totales_parcela,C(bloque),3.0,2.8499380390321443e-27,9.499793463440482e-28,2.5658562967275294,0.10333442004874933,20
plantas_totales_parcela,Residual,12.0,4.4428646182047385e-27,3.702387181837282e-28,,,20
dds_cosecha,C(tratamiento_nombre),4.0,6.895045179234404e-28,1.723761294808601e-28,0.04655810454575951,0.9953397216201337,20
dds_cosecha,C(bloque),3.0,1.6331488203692298e-26,5.443829401230766e-27,1.470356592615823,0.2720365100781757,20
dds_cosecha,Residual,12.0,4.4428646182047385e-26,3.702387181837282e-27,,,20
n_muestreo,C(tratamiento_nombre),4.0,1.1195100153634613e-29,2.7987750384086532e-30,0.2800949097901986,0.8852429993031365,20
n_muestreo,C(bloque),3.0,3.662204484455403e-29,1.2207348281518011e-29,1.2216830823364224,0.3442910867862758,20
n_muestreo,Residual,12.0,1.199068575935938e-28,9.992238132799482e-30,,,20
n_com_muestreo,C(tratamiento_nombre),4.0,13.299999999999988,3.324999999999997,2.0050251256281397,0.15784481338930706,20
n_com_muestreo,C(bloque),3.0,0.5999999999999921,0.19999999999999737,0.12060301507537535,0.9462096437295546,20
n_com_muestreo,Residual,12.0,19.89999999999999,1.6583333333333325,,,20
prop_comercial_n_muestreo,C(tratamiento_nombre),4.0,0.13299999999999984,0.03324999999999996,2.005025125628139,0.15784481338930723,20
prop_comercial_n_muestreo,C(bloque),3.0,0.005999999999999914,0.0019999999999999714,0.12060301507537519,0.9462096437295547,20
prop_comercial_n_muestreo,Residual,12.0,0.19899999999999995,0.01658333333333333,,,20
peso_conto_gr,C(tratamiento_nombre),4.0,489253.32500000094,122313.33125000024,0.8782731027227151,0.505336624924504,20
peso_conto_gr,C(bloque),3.0,1327829.7374999984,442609.91249999945,3.1781685379221756,0.06333348800999906,20
peso_conto_gr,Residual,12.0,1671188.575,139265.71458333332,,,20
peso_muestra_total_g,C(tratamiento_nombre),4.0,183438.72799999986,45859.681999999964,11.645211667028935,0.00042638249587959796,20
peso_muestra_total_g,C(bloque),3.0,2557.516000000029,852.5053333333431,0.2164778433033584,0.8830752103943739,20
peso_muestra_total_g,Residual,12.0,47256.863999999994,3938.0719999999997,,,20
peso_muestra_com_g,C(tratamiento_nombre),4.0,254769.29999999996,63692.32499999999,8.36136178405964,0.0018356860913037937,20
peso_muestra_com_g,C(bloque),3.0,2301.937500000029,767.3125000000097,0.10073077743560697,0.9580521320400641,20
peso_muestra_com_g,Residual,12.0,91409.50000000001,7617.458333333335,,,20
prop_comercial_peso_muestra,C(tratamiento_nombre),4.0,0.08963601286014224,0.02240900321503556,2.2528869676139927,0.12399673267144933,20
prop_comercial_peso_muestra,C(bloque),3.0,0.0024229880848166837,0.0008076626949388945,0.08119829080282204,0.9689903142048297,20
prop_comercial_peso_muestra,Residual,12.0,0.11936153142437687,0.009946794285364739,,,20
peso_parcela_total_g_obs,C(tratamiento_nombre),4.0,916980.6580000013,229245.16450000033,1.6310016323202343,0.2300796629360803,20
peso_parcela_total_g_obs,C(bloque),3.0,1271988.0534999978,423996.0178333326,3.016587934108611,0.07182221720285493,20
peso_parcela_total_g_obs,Residual,12.0,1686658.0139999997,140554.83449999997,,,20
peso_parcela_comercial_g_est,C(tratamiento_nombre),4.0,2101031.968588975,525257.9921472437,2.384571320585381,0.10938541093716382,20
peso_parcela_comercial_g_est,C(bloque),3.0,1403201.3232473743,467733.77441579144,2.123422319728146,0.15056894596004833,20
peso_parcela_comercial_g_est,Residual,12.0,2643282.6107375966,220273.55089479973,,,20
rendimiento_total_tn_ha,C(tratamiento_nombre),4.0,10.188673977777784,2.547168494444446,1.6310016323202325,0.23007966293608065,20
rendimiento_total_tn_ha,C(bloque),3.0,14.133200594444432,4.711066864814811,3.0165879341086126,0.07182221720285478,20
rendimiento_total_tn_ha,Residual,12.0,18.7406446,1.5617203833333333,,,20
rendimiento_comercial_tn_ha,C(tratamiento_nombre),4.0,23.344799650988623,5.836199912747156,2.3845713205853816,0.1093854109371636,20
rendimiento_comercial_tn_ha,C(bloque),3.0,15.59112581385971,5.197041937953236,2.123422319728144,0.15056894596004858,20
rendimiento_comercial_tn_ha,Residual,12.0,29.36980678597331,2.447483898831109,,,20
peso_bulbo_gr,C(tratamiento_nombre),4.0,1834.38728,458.59682,11.645211667028944,0.00042638249587959633,20
peso_bulbo_gr,C(bloque),3.0,25.575160000000277,8.525053333333426,0.21647784330335829,0.883075210394374,20
peso_bulbo_gr,Residual,12.0,472.5686399999999,39.38071999999999,,,20
bloue,C(tratamiento_nombre),4.0,1.5446882600358952e-29,3.861720650089738e-30,0.7723089564502883,0.5637343991518499,20
bloue,C(bloque),3.0,24.99999999999997,8.333333333333323,1.666590764474252e+30,5.605850332401708e-178,20
bloue,Residual,12.0,6.000273260337321e-29,5.000227716947768e-30,,,20
num_hojas,C(tratamiento_nombre),4.0,17.05699999999999,4.264249999999998,6.040727186872858,0.00668742951042985,20
num_hojas,C(bloque),3.0,8.121499999999985,2.707166666666662,3.8349663558021416,0.03888387240517783,20
num_hojas,Residual,12.0,8.470999999999998,0.7059166666666665,,,20
longitud_bulbo_mm,C(tratamiento_nombre),4.0,265.2128032999999,66.30320082499998,10.388318846386547,0.0007158889617424199,20
longitud_bulbo_mm,C(bloque),3.0,15.22658159999974,5.075527199999914,0.7952284989418783,0.5198005203515974,20
longitud_bulbo_mm,Residual,12.0,76.58971790000007,6.382476491666672,,,20
ancho_bulbo_mm,C(tratamiento_nombre),4.0,327.30847930000004,81.82711982500001,10.715275873475738,0.0006229151419470741,20
ancho_bulbo_mm,C(bloque),3.0,8.682061750000244,2.8940205833334147,0.37897250936187055,0.7699219544980903,20
ancho_bulbo_mm,Residual,12.0,91.63790550000004,7.636492125000004,,,20
num_dientes,C(tratamiento_nombre),4.0,62.94700000000003,15.736750000000008,10.343484690803537,0.000729859631973435,20
num_dientes,C(bloque),3.0,4.26550000000001,1.4218333333333366,0.9345456537218628,0.4541245136053233,20
num_dientes,Residual,12.0,18.25699999999999,1.521416666666666,,,20
ancho_bulbo_mm_clasif,C(tratamiento_nombre),4.0,328.98299999999995,82.24574999999999,10.392765755804755,0.0007145203253213809,20
ancho_bulbo_mm_clasif,C(bloque),3.0,8.977500000000221,2.992500000000074,0.37813931448429244,0.770494218458613,20
ancho_bulbo_mm_clasif,Residual,12.0,94.96500000000013,7.913750000000011,,,20
