variable,tratamiento_nombre,media,desviacion_estandar,n,letras_tukey,media_sd_letras
peso_muestra_total_g,AJO CANETANO,430.25,31.210308126215818,4,c,430.25 ± 31.21 c
peso_muestra_total_g,AJO CHINO,588.875,41.84569870368996,4,ab,588.88 ± 41.85 ab
peso_muestra_total_g,AJO KIYAN,476.825,64.65824902258541,4,bc,476.82 ± 64.66 bc
peso_muestra_total_g,INIA 104 BLANCO,641.625,71.15988453241522,4,a,641.62 ± 71.16 a
peso_muestra_total_g,INIA 105 DONAJUS,387.625,68.0825173349713,4,c,387.62 ± 68.08 c
peso_muestra_com_g,AJO CANETANO,410.125,57.49112250310187,4,b,410.12 ± 57.49 b
peso_muestra_com_g,AJO CHINO,588.875,41.84569870368996,4,a,588.88 ± 41.85 a
peso_muestra_com_g,AJO KIYAN,394.375,103.83350053491085,4,b,394.38 ± 103.83 b
peso_muestra_com_g,INIA 104 BLANCO,630.875,73.97451700867445,4,a,630.88 ± 73.97 a
peso_muestra_com_g,INIA 105 DONAJUS,349.625,99.63548146451978,4,b,349.62 ± 99.64 b
peso_bulbo_gr,AJO CANETANO,43.025000000000006,3.121030812621582,4,c,43.03 ± 3.12 c
peso_bulbo_gr,AJO CHINO,58.8875,4.184569870368997,4,ab,58.89 ± 4.18 ab
peso_bulbo_gr,AJO KIYAN,47.6825,6.46582490225854,4,bc,47.68 ± 6.47 bc
peso_bulbo_gr,INIA 104 BLANCO,64.1625,7.115988453241518,4,a,64.16 ± 7.12 a
peso_bulbo_gr,INIA 105 DONAJUS,38.7625,6.808251733497128,4,c,38.76 ± 6.81 c
num_hojas,AJO CANETANO,10.9,0.5354126134736336,4,ab,10.90 ± 0.54 ab
num_hojas,AJO CHINO,10.925,1.299679447658794,4,ab,10.93 ± 1.30 ab
num_hojas,AJO KIYAN,12.85,1.2069244660154448,4,a,12.85 ± 1.21 a
num_hojas,INIA 104 BLANCO,11.725000000000001,1.0719919153923994,4,ab,11.73 ± 1.07 ab
num_hojas,INIA 105 DONAJUS,10.125,0.9742518497116989,4,b,10.12 ± 0.97 b
longitud_bulbo_mm,AJO CANETANO,41.747749999999996,1.1475034858334867,4,b,41.75 ± 1.15 b
longitud_bulbo_mm,AJO CHINO,44.12825,3.3353841732749974,4,b,44.13 ± 3.34 b
longitud_bulbo_mm,AJO KIYAN,40.6845,2.675785803584933,4,b,40.68 ± 2.68 b
longitud_bulbo_mm,INIA 104 BLANCO,49.7945,1.6847513169604593,4,a,49.79 ± 1.68 a
longitud_bulbo_mm,INIA 105 DONAJUS,39.523,2.8575627143890756,4,b,39.52 ± 2.86 b
ancho_bulbo_mm,AJO CANETANO,52.4865,1.4849494940906234,4,bc,52.49 ± 1.48 bc
ancho_bulbo_mm,AJO CHINO,56.16475,1.6473757666867235,4,ab,56.16 ± 1.65 ab
ancho_bulbo_mm,AJO KIYAN,50.636,3.200967041379845,4,bc,50.64 ± 3.20 bc
ancho_bulbo_mm,INIA 104 BLANCO,60.79175000000001,3.5745371145553055,4,a,60.79 ± 3.57 a
ancho_bulbo_mm,INIA 105 DONAJUS,49.82775,2.344687950097694,4,c,49.83 ± 2.34 c
num_dientes,AJO CANETANO,5.3,1.7492855684535902,4,c,5.30 ± 1.75 c
num_dientes,AJO CHINO,4.675,0.3403429642777023,4,c,4.67 ± 0.34 c
num_dientes,AJO KIYAN,6.225,1.5107944929738126,4,bc,6.22 ± 1.51 bc
num_dientes,INIA 104 BLANCO,9.4,0.9999999999999996,4,a,9.40 ± 1.00 a
num_dientes,INIA 105 DONAJUS,8.175,1.0242883708539634,4,ab,8.18 ± 1.02 ab
ancho_bulbo_mm_clasif,AJO CANETANO,52.05,1.4977761292440654,4,bc,52.05 ± 1.50 bc
ancho_bulbo_mm_clasif,AJO CHINO,55.725,1.7327723451163486,4,ab,55.73 ± 1.73 ab
ancho_bulbo_mm_clasif,AJO KIYAN,50.125,3.217012071265302,4,bc,50.12 ± 3.22 bc
ancho_bulbo_mm_clasif,INIA 104 BLANCO,60.325,3.627097094555552,4,a,60.33 ± 3.63 a
ancho_bulbo_mm_clasif,INIA 105 DONAJUS,49.35,2.4283053075481824,4,c,49.35 ± 2.43 c
