variable,group1,group2,meandiff,p_adj,lower,upper,reject
peso_muestra_total_g,AJO CANETANO,AJO CHINO,158.625,0.0107,32.7952,284.4548,True
peso_muestra_total_g,AJO CANETANO,AJO KIYAN,46.575,0.7819,-79.2548,172.4048,False
peso_muestra_total_g,AJO CANETANO,INIA 104 BLANCO,211.375,0.0009,85.5452,337.2048,True
peso_muestra_total_g,AJO CANETANO,INIA 105 DONAJUS,-42.625,0.8302,-168.4548,83.2048,False
peso_muestra_total_g,AJO CHINO,AJO KIYAN,-112.05,0.0926,-237.8798,13.7798,False
peso_muestra_total_g,AJO CHINO,INIA 104 BLANCO,52.75,0.6984,-73.0798,178.5798,False
peso_muestra_total_g,AJO CHINO,INIA 105 DONAJUS,-201.25,0.0014,-327.0798,-75.4202,True
peso_muestra_total_g,AJO KIYAN,INIA 104 BLANCO,164.8,0.008,38.9702,290.6298,True
peso_muestra_total_g,AJO KIYAN,INIA 105 DONAJUS,-89.2,0.236,-215.0298,36.6298,False
peso_muestra_total_g,INIA 104 BLANCO,INIA 105 DONAJUS,-254.0,0.0001,-379.8298,-128.1702,True
peso_muestra_com_g,AJO CANETANO,AJO CHINO,178.75,0.0407,6.1653,351.3347,True
peso_muestra_com_g,AJO CANETANO,AJO KIYAN,-15.75,0.9985,-188.3347,156.8347,False
peso_muestra_com_g,AJO CANETANO,INIA 104 BLANCO,220.75,0.0096,48.1653,393.3347,True
peso_muestra_com_g,AJO CANETANO,INIA 105 DONAJUS,-60.5,0.8126,-233.0847,112.0847,False
peso_muestra_com_g,AJO CHINO,AJO KIYAN,-194.5,0.0238,-367.0847,-21.9153,True
peso_muestra_com_g,AJO CHINO,INIA 104 BLANCO,42.0,0.9405,-130.5847,214.5847,False
peso_muestra_com_g,AJO CHINO,INIA 105 DONAJUS,-239.25,0.005,-411.8347,-66.6653,True
peso_muestra_com_g,AJO KIYAN,INIA 104 BLANCO,236.5,0.0056,63.9153,409.0847,True
peso_muestra_com_g,AJO KIYAN,INIA 105 DONAJUS,-44.75,0.9264,-217.3347,127.8347,False
peso_muestra_com_g,INIA 104 BLANCO,INIA 105 DONAJUS,-281.25,0.0012,-453.8347,-108.6653,True
peso_bulbo_gr,AJO CANETANO,AJO CHINO,15.8625,0.0107,3.2795,28.4455,True
peso_bulbo_gr,AJO CANETANO,AJO KIYAN,4.6575,0.7819,-7.9255,17.2405,False
peso_bulbo_gr,AJO CANETANO,INIA 104 BLANCO,21.1375,0.0009,8.5545,33.7205,True
peso_bulbo_gr,AJO CANETANO,INIA 105 DONAJUS,-4.2625,0.8302,-16.8455,8.3205,False
peso_bulbo_gr,AJO CHINO,AJO KIYAN,-11.205,0.0926,-23.788,1.378,False
peso_bulbo_gr,AJO CHINO,INIA 104 BLANCO,5.275,0.6984,-7.308,17.858,False
peso_bulbo_gr,AJO CHINO,INIA 105 DONAJUS,-20.125,0.0014,-32.708,-7.542,True
peso_bulbo_gr,AJO KIYAN,INIA 104 BLANCO,16.48,0.008,3.897,29.063,True
peso_bulbo_gr,AJO KIYAN,INIA 105 DONAJUS,-8.92,0.236,-21.503,3.663,False
peso_bulbo_gr,INIA 104 BLANCO,INIA 105 DONAJUS,-25.4,0.0001,-37.983,-12.817,True
num_hojas,AJO CANETANO,AJO CHINO,0.025,1.0,-2.2715,2.3215,False
num_hojas,AJO CANETANO,AJO KIYAN,1.95,0.1159,-0.3465,4.2465,False
num_hojas,AJO CANETANO,INIA 104 BLANCO,0.825,0.7992,-1.4715,3.1215,False
num_hojas,AJO CANETANO,INIA 105 DONAJUS,-0.775,0.8321,-3.0715,1.5215,False
num_hojas,AJO CHINO,AJO KIYAN,1.925,0.1228,-0.3715,4.2215,False
num_hojas,AJO CHINO,INIA 104 BLANCO,0.8,0.816,-1.4965,3.0965,False
num_hojas,AJO CHINO,INIA 105 DONAJUS,-0.8,0.816,-3.0965,1.4965,False
num_hojas,AJO KIYAN,INIA 104 BLANCO,-1.125,0.5703,-3.4215,1.1715,False
num_hojas,AJO KIYAN,INIA 105 DONAJUS,-2.725,0.0167,-5.0215,-0.4285,True
